2025-05-02 00:02:50 - INFO - [SETUP] Connected to 127.0.0.1:50000 with response: 
2025-05-02 00:02:50 - INFO - [SETUP] Server started on port 50001
2025-05-02 00:02:50 - INFO - [RAFT] No leader. Becoming candidate for term 1.
2025-05-02 00:02:50 - INFO - [RAFT] Server 1 election timeout as candidate. Starting new election for term 1.
2025-05-02 00:02:50 - INFO - [RAFT] Sent vote request to 127.0.0.1:50000 with response: 
2025-05-02 00:02:50 - INFO - [RAFT] Server 1 did not win election for term 1.
2025-05-02 00:02:50 - INFO - [RAFT] Received VoteRequest: term=-1, candidate_id=0, last_log_index=0, last_log_term=0
2025-05-02 00:02:52 - INFO - [RAFT] Received VoteRequest: term=1, candidate_id=0, last_log_index=-1, last_log_term=0
2025-05-02 00:02:55 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=-1, term_of_recent_log=0, leader_commit=-1
2025-05-02 00:02:55 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=-1, term_of_recent_log=0, leader_commit=-1
2025-05-02 00:02:55 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=-1, term_of_recent_log=0, leader_commit=-1
2025-05-02 00:02:55 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=-1, term_of_recent_log=0, leader_commit=-1
2025-05-02 00:02:56 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=-1, term_of_recent_log=0, leader_commit=-1
2025-05-02 00:02:56 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=-1, term_of_recent_log=0, leader_commit=-1
2025-05-02 00:02:56 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=-1, term_of_recent_log=0, leader_commit=-1
2025-05-02 00:02:56 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=-1, term_of_recent_log=0, leader_commit=-1
2025-05-02 00:02:56 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=-1, term_of_recent_log=0, leader_commit=-1
2025-05-02 00:02:56 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=-1, term_of_recent_log=0, leader_commit=-1
2025-05-02 00:02:56 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=-1, term_of_recent_log=0, leader_commit=-1
2025-05-02 00:02:56 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=-1, term_of_recent_log=0, leader_commit=-1
2025-05-02 00:02:56 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=-1, term_of_recent_log=0, leader_commit=-1
2025-05-02 00:02:57 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=-1, term_of_recent_log=0, leader_commit=-1
2025-05-02 00:02:57 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=-1, term_of_recent_log=0, leader_commit=-1
2025-05-02 00:02:57 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=-1, term_of_recent_log=0, leader_commit=-1
2025-05-02 00:02:57 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=-1, term_of_recent_log=0, leader_commit=-1
2025-05-02 00:02:57 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=-1, term_of_recent_log=0, leader_commit=-1
2025-05-02 00:02:57 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=-1, term_of_recent_log=0, leader_commit=-1
2025-05-02 00:02:57 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=-1, term_of_recent_log=0, leader_commit=-1
2025-05-02 00:02:57 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=-1, term_of_recent_log=0, leader_commit=-1
2025-05-02 00:02:57 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=-1, term_of_recent_log=0, leader_commit=-1
2025-05-02 00:02:58 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=-1, term_of_recent_log=0, leader_commit=-1
2025-05-02 00:02:58 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=-1, term_of_recent_log=0, leader_commit=-1
2025-05-02 00:02:58 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=-1, term_of_recent_log=0, leader_commit=-1
2025-05-02 00:02:58 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=-1, term_of_recent_log=0, leader_commit=-1
2025-05-02 00:02:58 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=-1, term_of_recent_log=0, leader_commit=-1
2025-05-02 00:02:58 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=-1, term_of_recent_log=0, leader_commit=-1
2025-05-02 00:02:58 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=-1, term_of_recent_log=0, leader_commit=-1
2025-05-02 00:02:58 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=-1, term_of_recent_log=0, leader_commit=-1
2025-05-02 00:02:58 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=-1, term_of_recent_log=0, leader_commit=-1
2025-05-02 00:02:58 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=-1, term_of_recent_log=0, leader_commit=-1
2025-05-02 00:02:59 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=-1, term_of_recent_log=0, leader_commit=-1
2025-05-02 00:02:59 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=-1, term_of_recent_log=0, leader_commit=-1
2025-05-02 00:02:59 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=-1, term_of_recent_log=0, leader_commit=-1
2025-05-02 00:02:59 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=-1, term_of_recent_log=0, leader_commit=-1
2025-05-02 00:02:59 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=-1, term_of_recent_log=0, leader_commit=-1
2025-05-02 00:02:59 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=-1, term_of_recent_log=0, leader_commit=-1
2025-05-02 00:02:59 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=-1, term_of_recent_log=0, leader_commit=-1
2025-05-02 00:02:59 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=-1, term_of_recent_log=0, leader_commit=-1
2025-05-02 00:02:59 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=-1, term_of_recent_log=0, leader_commit=-1
2025-05-02 00:03:00 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=-1, term_of_recent_log=0, leader_commit=-1
2025-05-02 00:03:00 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=-1, term_of_recent_log=0, leader_commit=-1
2025-05-02 00:03:00 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=1, term_of_recent_log=1, leader_commit=-1
2025-05-02 00:03:00 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=1, term_of_recent_log=1, leader_commit=1
2025-05-02 00:03:00 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=1, term_of_recent_log=1, leader_commit=1
2025-05-02 00:03:00 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=1, term_of_recent_log=1, leader_commit=1
2025-05-02 00:03:00 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=1, term_of_recent_log=1, leader_commit=1
2025-05-02 00:03:00 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=1, term_of_recent_log=1, leader_commit=1
2025-05-02 00:03:00 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=1, term_of_recent_log=1, leader_commit=1
2025-05-02 00:03:01 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=1, term_of_recent_log=1, leader_commit=1
2025-05-02 00:03:01 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=1, term_of_recent_log=1, leader_commit=1
2025-05-02 00:03:01 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=1, term_of_recent_log=1, leader_commit=1
2025-05-02 00:03:01 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=1, term_of_recent_log=1, leader_commit=1
2025-05-02 00:03:01 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=1, term_of_recent_log=1, leader_commit=1
2025-05-02 00:03:01 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=1, term_of_recent_log=1, leader_commit=1
2025-05-02 00:03:01 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=1, term_of_recent_log=1, leader_commit=1
2025-05-02 00:03:01 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=1, term_of_recent_log=1, leader_commit=1
2025-05-02 00:03:01 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=1, term_of_recent_log=1, leader_commit=1
2025-05-02 00:03:01 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=1, term_of_recent_log=1, leader_commit=1
2025-05-02 00:03:02 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=1, term_of_recent_log=1, leader_commit=1
2025-05-02 00:03:02 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=1, term_of_recent_log=1, leader_commit=1
2025-05-02 00:03:02 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=1, term_of_recent_log=1, leader_commit=1
2025-05-02 00:03:02 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=1, term_of_recent_log=1, leader_commit=1
2025-05-02 00:03:02 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=1, term_of_recent_log=1, leader_commit=1
2025-05-02 00:03:02 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=1, term_of_recent_log=1, leader_commit=1
2025-05-02 00:03:02 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=1, term_of_recent_log=1, leader_commit=1
2025-05-02 00:03:02 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=1, term_of_recent_log=1, leader_commit=1
2025-05-02 00:03:02 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=1, term_of_recent_log=1, leader_commit=1
2025-05-02 00:03:03 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=1, term_of_recent_log=1, leader_commit=1
2025-05-02 00:03:03 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=1, term_of_recent_log=1, leader_commit=1
2025-05-02 00:03:03 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=1, term_of_recent_log=1, leader_commit=1
2025-05-02 00:03:03 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=1, term_of_recent_log=1, leader_commit=1
2025-05-02 00:03:03 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=1, term_of_recent_log=1, leader_commit=1
2025-05-02 00:03:03 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=1, term_of_recent_log=1, leader_commit=1
2025-05-02 00:03:03 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=1, term_of_recent_log=1, leader_commit=1
2025-05-02 00:03:03 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=1, term_of_recent_log=1, leader_commit=1
2025-05-02 00:03:03 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=1, term_of_recent_log=1, leader_commit=1
2025-05-02 00:03:03 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=1, term_of_recent_log=1, leader_commit=1
2025-05-02 00:03:04 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=1, term_of_recent_log=1, leader_commit=1
2025-05-02 00:03:04 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=1, term_of_recent_log=1, leader_commit=1
2025-05-02 00:03:04 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=1, term_of_recent_log=1, leader_commit=1
2025-05-02 00:03:04 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=1, term_of_recent_log=1, leader_commit=1
2025-05-02 00:03:04 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=1, term_of_recent_log=1, leader_commit=1
2025-05-02 00:03:04 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=1, term_of_recent_log=1, leader_commit=1
2025-05-02 00:03:04 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=1, term_of_recent_log=1, leader_commit=1
2025-05-02 00:03:04 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=1, term_of_recent_log=1, leader_commit=1
2025-05-02 00:03:04 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=2, term_of_recent_log=1, leader_commit=1
2025-05-02 00:03:05 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=2, term_of_recent_log=1, leader_commit=2
2025-05-02 00:03:05 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=2, term_of_recent_log=1, leader_commit=2
2025-05-02 00:03:05 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=2, term_of_recent_log=1, leader_commit=2
2025-05-02 00:03:05 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=2, term_of_recent_log=1, leader_commit=2
2025-05-02 00:03:05 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=2, term_of_recent_log=1, leader_commit=2
2025-05-02 00:03:05 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=2, term_of_recent_log=1, leader_commit=2
2025-05-02 00:03:05 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=2, term_of_recent_log=1, leader_commit=2
2025-05-02 00:03:05 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=2, term_of_recent_log=1, leader_commit=2
2025-05-02 00:03:05 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=2, term_of_recent_log=1, leader_commit=2
2025-05-02 00:03:06 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=2, term_of_recent_log=1, leader_commit=2
2025-05-02 00:03:06 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=2, term_of_recent_log=1, leader_commit=2
2025-05-02 00:03:06 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=2, term_of_recent_log=1, leader_commit=2
2025-05-02 00:03:06 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=2, term_of_recent_log=1, leader_commit=2
2025-05-02 00:03:06 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=2, term_of_recent_log=1, leader_commit=2
2025-05-02 00:03:06 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=2, term_of_recent_log=1, leader_commit=2
2025-05-02 00:03:06 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=2, term_of_recent_log=1, leader_commit=2
2025-05-02 00:03:06 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=2, term_of_recent_log=1, leader_commit=2
2025-05-02 00:03:06 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=2, term_of_recent_log=1, leader_commit=2
2025-05-02 00:03:06 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=2, term_of_recent_log=1, leader_commit=2
2025-05-02 00:03:07 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=2, term_of_recent_log=1, leader_commit=2
2025-05-02 00:03:07 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=2, term_of_recent_log=1, leader_commit=2
2025-05-02 00:03:07 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=2, term_of_recent_log=1, leader_commit=2
2025-05-02 00:03:07 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=2, term_of_recent_log=1, leader_commit=2
2025-05-02 00:03:07 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=2, term_of_recent_log=1, leader_commit=2
2025-05-02 00:03:07 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=2, term_of_recent_log=1, leader_commit=2
2025-05-02 00:03:07 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=2, term_of_recent_log=1, leader_commit=2
2025-05-02 00:03:07 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=2, term_of_recent_log=1, leader_commit=2
2025-05-02 00:03:07 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=2, term_of_recent_log=1, leader_commit=2
2025-05-02 00:03:08 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=2, term_of_recent_log=1, leader_commit=2
2025-05-02 00:03:08 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=2, term_of_recent_log=1, leader_commit=2
